begin month,end month,100e,90e,80e,70e,60e,50e,40e,30e,20e,10e,0e
6/30/27,5/31/28,1.331922797,1.303156555,1.259742147,1.245624071,1.216857829,1.188091587,1.159325345,1.130559103,1.101792861,1.073026619,1.044260377
7/31/27,6/30/28,1.304779086,1.281437813,1.222129419,1.234059617,1.210025434,1.185763005,1.161273673,1.136558771,1.111619623,1.08645754,1.061073824
8/31/27,7/31/28,1.209849467,1.193421581,1.163039786,1.159508192,1.14201401,1.124155598,1.105928436,1.087327929,1.068349405,1.048988113,1.029239224
9/30/27,8/31/28,1.257004089,1.234289894,1.204379268,1.188399409,1.165218549,1.141877486,1.11837382,1.094705101,1.070868831,1.04686246,1.022683386
10/31/27,9/30/28,1.24540097,1.222790615,1.200058736,1.177202362,1.154218426,1.131103759,1.107855088,1.084469026,1.060942073,1.037270611,1.013450894
11/30/27,10/31/28,1.355977515,1.322915958,1.275173079,1.257232876,1.224613798,1.192144683,1.159826788,1.127661388,1.095649767,1.063793227,1.032093085
12/31/27,11/30/28,1.396342859,1.357595381,1.311444048,1.280769191,1.242703333,1.204877951,1.167300115,1.129977172,1.092916766,1.056126848,1.019615693
1/31/28,12/31/28,1.359728677,1.325321966,1.276097966,1.256835855,1.222764253,1.188812463,1.154984872,1.121286082,1.087720924,1.054294476,1.021012076
2/29/28,1/31/29,1.409878675,1.369081855,1.313159759,1.288195985,1.248122921,1.208307702,1.168759266,1.129486968,1.090500605,1.051810445,1.013427251
3/31/28,2/28/29,1.429872789,1.385112739,1.340723232,1.296714274,1.253096235,1.209879867,1.167076317,1.12469715,1.082754367,1.041260426,1.000228262
4/30/28,3/31/29,1.3137477,1.282758959,1.244481849,1.220879411,1.189991904,1.159141629,1.128330533,1.097560702,1.06683437,1.036153938,1.005521986
5/31/28,4/30/29,1.26085546,1.236880102,1.198711443,1.188906803,1.164907853,1.140899951,1.116882469,1.092854717,1.068815937,1.044765297,1.020701878
6/30/28,5/31/29,1.173788507,1.157912136,1.12875628,1.126159394,1.110283023,1.094406652,1.078530281,1.06265391,1.046777539,1.030901168,1.015024797
7/31/28,6/30/29,1.321353715,1.287841225,1.254934022,1.222621781,1.190894414,1.159742057,1.129155069,1.09912402,1.069639692,1.040693067,1.012275326
8/31/28,7/31/29,1.355159815,1.31842618,1.297344005,1.24691071,1.212113028,1.17794503,1.14439911,1.111467782,1.079143683,1.047419563,1.016288291
9/30/28,8/31/29,1.373357408,1.335486944,1.31327983,1.261190618,1.224768425,1.188832671,1.153385213,1.118427917,1.083962661,1.049991328,1.016515815
10/31/28,9/30/29,1.269966743,1.244683902,1.219551372,1.194571189,1.169745431,1.145076211,1.120565682,1.096216035,1.072029504,1.048008361,1.024154925
11/30/28,10/31/29,1.043635674,1.043552138,1.049305593,1.042696095,1.041915713,1.04089502,1.039629849,1.038115933,1.036348906,1.034324301,1.032037542
12/31/28,11/30/29,0.829251293,0.850505752,0.876962379,0.893420212,0.915093602,0.936920772,0.958909598,0.981068501,1.003406499,1.025933258,1.048659152
